T,D,P
急,급하다,きゅう/いそぐ
静,조용하다,せい·じょう/しず·しずか·しずまる·しずめる
反,반대하다,はん·たん·ほん/そらす·そる
勝,이기다,しょう/かつ·まさる
殴,때리다,お う/なぐる
真,"진짜, 참",しん/ま
膝,무릎,ひざ
議,의논하다,ぎ
私,"나, 사적",し/わたくし·わたし
刃,칼날,じん/は
測,재다,そく/はかる
香,향기,こう·きょう/か·かおり·かおる
使,사용하다,し/つかう
競,경쟁하다,きょう·けい/きそう·せる
良,좋다,りょう/よい
雪,눈(기상),せつ/ゆき
次,다음,じ·し/つぎ·つぐ
暗,어둡다,あん/くらい
就,나아가다,しゅう·じゅ/つく·つける
個,개별,こ
様,"모양, 님",よう/さま
想,생각하다,そう·そ
焦,초조해하다,しょう/こがす·こがれる·こげる·あせる
誰,누구,だれ
較,비교하다,かく
連,"잇다, 연결하다",れん/つらなる·つらねる·つれる
礼,예의,れい·らい
充,채우다,じゅう/あてる
寂,"고요하다, 쓸쓸하다",じゃく·せき/さび·さびしい·さびれる
遊,놀다,ゆう·ゆ/あそぶ
技,기술,ぎ/わざ
褒,칭찬하다,ほう/ほめる
見,보다,けん/みえる·みせる·みる
類,종류,るい/たぐい
尽,다하다,じん/つかす·つきる·つくす
皿,접시,さら
話,이야기,わ/はなし·はなす
相,서로,そう·しょう/あい
先,먼저,せん/さき
忘,잊다,ぼう/わすれる
記,기록하다,き/しるす
無,없다,ぶ·む/ない
椅,의자,い
偉,위대하다,い/えらい
練,연습하다,れん/ねる
増,늘리다,ぞう/ふえる·ふやす·ます
願,바라다,がん/ねがう
月,달,がつ·げつ/つき
害,해치다,がい
顔,얼굴,がん/かお
書,"쓰다, 책",しょ/かく
暮,저물다,ぼ/くらす·くれる
断,끊다,だん/ことわる·たつ
幸,행복,こう/さいわい·しあわせ·さち
財,재산,ざい·さい
短,짧다,たん/みじかい
突,찌르다,とつ/つく
歴,역사,れき
助,돕다,じょ/たすかる·たすける·すけ
